study_id,title,status,phase,enrollment
NCT04704154,A Trial to Learn Whether Regorafenib in Combination With Nivolumab Can Improve Tumor Responses and How Safe it is for Participants With Solid Tumors,COMPLETED,PHASE2,175.0
NCT04302454,Androgen Deprivation Therapy for Oligo-recurrent Prostate Cancer in Addition to radioTherapy,ACTIVE_NOT_RECRUITING,PHASE3,280.0
NCT03002805,"CBT-1® in Combination With Doxorubicin in Patients With Metastatic, Unresectable Sarcomas Who Previously Progressed on Doxorubicin",UNKNOWN,PHASE1,46.0
NCT00235105,D2E7-Early AS,UNKNOWN,PHASE2,46.0
NCT01419405,Pregabalin and Remifentanil - Analgesia and Ventilation,COMPLETED,PHASE4,12.0
NCT00003505,Antineoplaston Therapy in Treating Patients With Primary Central Nervous System Lymphoma,WITHDRAWN,PHASE2,0.0
NCT01745354,Immunostimulatory CpG SD-101 + RT in Recurrent/Progressive Lymphoma After Allogeneic Hematopoietic Cell Transplantation (HCT),TERMINATED,PHASE1,6.0
NCT05346354,Efficacy and Safety Study of Ravulizumab IV in Pediatric Participants With NMOSD,ACTIVE_NOT_RECRUITING,PHASE2,12.0
NCT05693454,Local Wound Anesthesia in Spine Surgery,COMPLETED,NA,150.0
NCT05351905,Improving Pain Disability With the Use of Oral Cannabinoids,COMPLETED,NA,51.0
NCT01679405,BIBW 2992 as add-on to Gem/Cis in Advanced Biliary Tract Cancer,TERMINATED,PHASE1,9.0
NCT07101705,"An Open-label, Single-arm Clinical Study to Evaluate the Safety and Preliminary Efficacy of OriV508 Injection in Treating Relapsed/Refractory Hematological Malignancies",RECRUITING,EARLY_PHASE1,40.0
NCT00103194,Lapatinib Ditosylate in Treating Patients With a Rising PSA Indicating Recurrent Prostate Cancer,COMPLETED,PHASE2,49.0
NCT07615283,Adebrelimab Combined With SHR2554 in Relapsed/Refractory PTCL and NK/T-Cell Lymphoma,NOT_YET_RECRUITING,PHASE1,40.0
NCT05823441,Effect of Oxytocin Nasal Inhalation on Empathy Analgesia,COMPLETED,PHASE4,120.0
NCT05108766,A Phase Ⅲ Study to Evaluate Tildrakizumab in the Treatment of Chinese Subjects With Moderate to Severe Plaquetype Psoriasis,COMPLETED,PHASE3,220.0
NCT04359966,Prospective Randomised Trial of First and Second Line Treatments of RCT of First and Second Line H Pylori Treatments in Slovenia,UNKNOWN,NA,560.0
NCT00690066,PROCHYMAL® (Human Adult Stem Cells) for the Treatment of Recently Diagnosed Type 1 Diabetes Mellitus (T1DM),COMPLETED,PHASE2,63.0
NCT01880866,(-)-Epicatechin and Pulmonary Arterial Hypertension,WITHDRAWN,PHASE1,0.0
NCT05158166,DaxibotulinumtoxinA Injection for Treatment of Adductor Spasmodic Dysphonia,COMPLETED,PHASE1,22.0
NCT06567366,CAR T-cell Therapy in Combination With Glofitamab for Relapsed/Refractory Large B-Cell Lymphoma With High-Risk Prognostic Factors,NOT_YET_RECRUITING,PHASE2,45.0
NCT00648466,Fasting Study of Sumatriptan Succinate Tablets 100 mg to Imitrex® Tablets 100 mg,COMPLETED,PHASE1,55.0
NCT02771366,The Efficient Brain Study,COMPLETED,PHASE2,30.0
NCT02736266,Neoadjuvant Pembrolizumab for Muscle-invasive Urothelial Bladder Carcinoma,COMPLETED,PHASE2,174.0
NCT00575302,Study of Optimal Posology of Gonadotrophins in Patients With Insufficient Ovarian Response Due to Age,WITHDRAWN,PHASE4,400.0
NCT02809131,Perioperative Antibiotic Therapy to Prevent Cardiac Implantable Electronic Device Infections.,COMPLETED,PHASE3,1010.0
NCT03876002,Evaluation of Microglial Activation in ALS With [18F]PBR06 (Peripheral Benzodiazepine Receptor-06) PET,COMPLETED,PHASE1,23.0
NCT01490931,Intranasal Ketorolac for Postsurgical Pain in Dental Implant Patients,COMPLETED,PHASE4,28.0
NCT07079631,"A Clinical Study to Test if an Investigational Treatment Called BNT314 When Used in Combination With Another Investigational Treatment Pumitamig (BNT327) and Chemotherapy, is Beneficial and Safe for Patients With Advanced Colorectal Cancer",RECRUITING,PHASE1,482.0
NCT02312531,Prevention for Mother-to-infant Transmission of HBV,COMPLETED,NA,28.0
NCT00207831,Trial Testing Ftorafur (UFT) Associated With Neoadjuvant Radiotherapy Versus Radiotherapy Alone in Rectal Adenocarcinoma,TERMINATED,PHASE3,219.0
NCT01448902,A Study Of The Effects Of OC000459 In Subjects Known To Suffer From Grass Pollen Induced Allergic Rhinitis,COMPLETED,PHASE2,36.0
NCT02839902,Exploratory Study of the Effects of Omega-3-acid Ethyl Esters on the Lipid and Lipoprotein Profile in the Blood,COMPLETED,PHASE4,53.0
NCT03165253,The Effects of a Synbiotic Addition on Eradication Therapy of Helicobacter Pylori Infection in Children,COMPLETED,NA,69.0
NCT00322153,A Study of the Safety and Efficacy of Memantine in Moderate to Severe Alzheimer's Disease,COMPLETED,PHASE3,677.0
NCT00002253,"A Multicenter Placebo-Controlled Double Blind Study to Evaluate the Efficacy and Safety of Sandostatin ( SMS 201-995 ) in Patients With Acquired Immunodeficiency Related Diarrhea Who Were Either ""Responders"" or ""Non-Responders"" in a Prior Placebo-Controlled Double-Blind Sandostatin Study.",COMPLETED,NA,
NCT01718353,"Early Switch From First-Line Docetaxel/Prednisone to Cabazitaxel/Prednisone and the Opposite Sequence, Exploring Molecular Markers in Men With Metastatic Castration-Resistant Prostate Cancer (mCRPC)",COMPLETED,PHASE2,63.0
NCT03214731,Efficacy and Safety of Artesunate Plus Standard of Care in Active Lupus Nephritis,UNKNOWN,PHASE4,90.0
